id,name,source_family,source_id_type,public_visible,search_visible,has_seats,has_cutoffs,has_fees,has_placements,truth_density_score,recommended_surface,reason
"CORE-AICTE-1-44639754848","AICTE Institution 1-44639754848","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44639772141","AICTE Institution 1-44639772141","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44639864156","AICTE Institution 1-44639864156","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44639945530","AICTE Institution 1-44639945530","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44640046939","AICTE Institution 1-44640046939","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44640191315","AICTE Institution 1-44640191315","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44640195682","AICTE Institution 1-44640195682","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44640234814","AICTE Institution 1-44640234814","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44640290488","AICTE Institution 1-44640290488","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44640371659","AICTE Institution 1-44640371659","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44640415205","AICTE Institution 1-44640415205","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44640419040","AICTE Institution 1-44640419040","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44640586918","AICTE Institution 1-44640586918","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44640825251","AICTE Institution 1-44640825251","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44640884023","AICTE Institution 1-44640884023","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44640936781","AICTE Institution 1-44640936781","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44641284570","AICTE Institution 1-44641284570","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44641394123","AICTE Institution 1-44641394123","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44641549024","AICTE Institution 1-44641549024","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44641659758","AICTE Institution 1-44641659758","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44641676837","AICTE Institution 1-44641676837","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44641678195","AICTE Institution 1-44641678195","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44641745478","AICTE Institution 1-44641745478","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44641771420","AICTE Institution 1-44641771420","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44641806108","AICTE Institution 1-44641806108","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44641832195","AICTE Institution 1-44641832195","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44641852157","AICTE Institution 1-44641852157","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44641914888","AICTE Institution 1-44641914888","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44641925723","AICTE Institution 1-44641925723","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44641952602","AICTE Institution 1-44641952602","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44642237208","AICTE Institution 1-44642237208","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44642250885","AICTE Institution 1-44642250885","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44642276487","AICTE Institution 1-44642276487","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44642295707","AICTE Institution 1-44642295707","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44642302285","AICTE Institution 1-44642302285","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44642355580","AICTE Institution 1-44642355580","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44642356386","AICTE Institution 1-44642356386","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44642485642","AICTE Institution 1-44642485642","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44642502034","AICTE Institution 1-44642502034","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44642659248","AICTE Institution 1-44642659248","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44642712421","AICTE Institution 1-44642712421","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44642826943","AICTE Institution 1-44642826943","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44642874041","AICTE Institution 1-44642874041","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44642961216","AICTE Institution 1-44642961216","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44642964305","AICTE Institution 1-44642964305","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44642965002","AICTE Institution 1-44642965002","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44642967201","AICTE Institution 1-44642967201","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44643122522","AICTE Institution 1-44643122522","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44643164961","AICTE Institution 1-44643164961","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44643230639","AICTE Institution 1-44643230639","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44643311346","AICTE Institution 1-44643311346","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44643337669","AICTE Institution 1-44643337669","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44643357539","AICTE Institution 1-44643357539","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44643427751","AICTE Institution 1-44643427751","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44643459460","AICTE Institution 1-44643459460","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44643462613","AICTE Institution 1-44643462613","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44643467113","AICTE Institution 1-44643467113","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44643471242","AICTE Institution 1-44643471242","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44643656305","AICTE Institution 1-44643656305","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44643681436","AICTE Institution 1-44643681436","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44643745827","AICTE Institution 1-44643745827","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44643864170","AICTE Institution 1-44643864170","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
