id,name,score
"CORE-INSTITUTE-OF-INFRASTRUCTURE-TECHNOLOGY-RESEARCH-AND-MANAGEMENT-IITRAM","INSTITUTE OF INFRASTRUCTURE TECHNOLOGY RESEARCH AND MANAGEMENT (IITRAM)","25"
"CORE-INTERNATIONAL-INSTITUTE-OF-INFORMATION-TECHNOLOGY","INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY","25"
"CORE-INTERNATIONAL-INSTITUTE-OF-INFORMATION-TECHNOLOGY-BHUBANESHWAR","INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY BHUBANESHWAR","25"
"CORE-NIT-JAIPUR","Malviya National Institute of Technology, Jaipur","100"
"CORE-MAULANA-AZAD-NATIONAL-INSTITUTE-OF-TECHNOLOGY-BHOPAL","Maulana Azad National Institute of Technology, Bhopal","25"
"CORE-MIZORAM-UNIVERSITY-AIZAWL","Mizoram University, Aizawl","75"
"CORE-MOTILAL-NEHRU-NATIONAL-INSTITUTE-OF-TECHNOLOGY-ALLAHABAD","Motilal Nehru National Institute of Technology, Allahabad","50"
"CORE-NATIONAL-INSTITUTE-OF-ADVANCED-MANUFACTURING-TECHNOLOGY-RANCHI","National Institute of Advanced Manufacturing Technology, Ranchi","75"
"CORE-NIT-ARUNACHAL-PRADESH","National Institute of Technology Arunachal Pradesh","75"
"CORE-NIT-DELHI","National Institute of Technology Delhi","75"
"CORE-NIT-GOA","National Institute of Technology Goa","75"
"CORE-NIT-MANIPUR","National Institute of Technology Manipur","75"
"CORE-NIT-MEGHALAYA","National Institute of Technology Meghalaya","75"
"CORE-NIT-MIZORAM","National Institute of Technology Mizoram","75"
"CORE-NIT-NAGALAND","National Institute of Technology Nagaland","75"
"CORE-NIT-PUDUCHERRY","National Institute of Technology Puducherry","75"
"CORE-NIT-SIKKIM","National Institute of Technology Sikkim","75"
"CORE-NIT-UTTARAKHAND","National Institute of Technology Uttarakhand","75"
"CORE-NIT-AGARTALA","National Institute of Technology, Agartala","75"
"CORE-NIT-ANDHRA-PRADESH","NATIONAL INSTITUTE OF TECHNOLOGY, ANDHRA PRADESH","75"
"CORE-NIT-CALICUT","National Institute of Technology, Calicut","75"
"CORE-NIT-DURGAPUR","National Institute of Technology, Durgapur","100"
"CORE-NIT-HAMIRPUR","National Institute of Technology, Hamirpur","75"
"CORE-NIT-JAMSHEDPUR","National Institute of Technology, Jamshedpur","75"
"CORE-NIT-SURATHKAL","National Institute of Technology, Karnataka","100"
"CORE-NIT-KURUKSHETRA","National Institute of Technology, Kurukshetra","75"
"CORE-NIT-PATNA","National Institute of Technology, Patna","75"
"CORE-NIT-RAIPUR","National Institute of Technology, Raipur","75"
"CORE-NIT-ROURKELA","National Institute of Technology, Rourkela","75"
"CORE-NIT-SILCHAR","National Institute of Technology, Silchar","100"
"CORE-NIT-SRINAGAR","National Institute of Technology, Srinagar","75"
"CORE-NIT-TRICHY","National Institute of Technology, Tiruchirapalli","100"
"CORE-NIT-WARANGAL","National Institute of Technology, Warangal","75"
"CORE-IIIT-JABALPUR","Pandhi Dwarka Prasad Mishra Indian Institute of Information Technology & Manufacturing , Jabalpur","75"
"CORE-PUDUCHERRY-TECHNOLOGICAL-UNIVERSITY-PUDUCHERRY","Puducherry Technological University, Puducherry","75"
"CORE-PUNJAB-ENGINEERING-COLLEGE-CHANDIGARH","Punjab Engineering College , Chandigarh","25"
"CORE-SANT-LONGOWAL-INSTITUTE-OF-ENGINEERING-AND-TECHNOLOGY","Sant Longowal Institute of Engineering and Technology","75"
"CORE-SARDAR-VALLABHBHAI-NATIONAL-INSTITUTE-OF-TECHNOLOGY-SURAT","Sardar Vallabhbhai National Institute of Technology, Surat","50"
"CORE-SCHOOL-OF-ENGINEERING-TEZPUR-UNIVERSITY-NAPAAM-TEZPUR","School of Engineering, Tezpur University, Napaam, Tezpur","75"
"CORE-SCHOOL-OF-STUDIES-OF-ENGINEERING-AND-TECHNOLOGY-GURU-GHASIDAS-VISHWAVIDYALAYA-BILASPUR","School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur","75"
"CORE-SHRI-MATA-VAISHNO-DEVI-UNIVERSITY-KATRA-JAMMU-KASHMIR","Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir","75"
"CORE-VISVESVARAYA-NATIONAL-INSTITUTE-OF-TECHNOLOGY-NAGPUR","Visvesvaraya National Institute of Technology, Nagpur","25"
"Indian Institute of Engineering Science and Technology, Shibpur","Indian Institute of Engineering Science and Technology, Shibpur","75"
