aishe_code,institution_name,category,state,district,university_affiliation,source_year,verification_status,is_premium,naac_grade,established_year,cei_id,removal_reason
aiims-mangalagiri,All India Institute of Medical Sciences Mangalagiri,College,Andhra Pradesh,Guntur,,2020-21,UNVERIFIED,True,,2018,CEI-IN-E9EFE41FEF18,INVALID_AISHE_FORMAT
srm-ap,"SRM University, Andhra Pradesh",College,Andhra Pradesh,Guntur,,2020-21,UNVERIFIED,True,,2017,CEI-IN-835336ADAC53,INVALID_AISHE_FORMAT
ntr-health-university,Dr. YSR University of Health Sciences,College,Andhra Pradesh,Krishna,,2020-21,UNVERIFIED,True,,1986,CEI-IN-2830A5588285,INVALID_AISHE_FORMAT
guntur-medical-college,Guntur Medical College,College,Andhra Pradesh,Guntur,Dr. YSR UHS,2020-21,UNVERIFIED,True,,1946,CEI-IN-120C99678BC1,INVALID_AISHE_FORMAT
angrau-guntur,Acharya N.G. Ranga Agricultural University,College,Andhra Pradesh,Guntur,,2020-21,UNVERIFIED,True,,1964,CEI-IN-E0E4325C68FB,INVALID_AISHE_FORMAT
yvu-kadapa,Yogi Vemana University,College,Andhra Pradesh,Kadapa,,2020-21,UNVERIFIED,True,,2006,CEI-IN-095937C902C3,INVALID_AISHE_FORMAT
aditya-engineering-college,Aditya Engineering College,College,Andhra Pradesh,East Godavari,JNTU Kakinada,2020-21,UNVERIFIED,True,A,,CEI-IN-52A813E95138,INVALID_AISHE_FORMAT
krea-university,Krea University,College,Andhra Pradesh,Chittoor,,2020-21,UNVERIFIED,True,,2018,CEI-IN-F25A376FCA86,INVALID_AISHE_FORMAT
iim-visakhapatnam,Indian Institute of Management Visakhapatnam,College,Andhra Pradesh,Visakhapatnam,,2020-21,UNVERIFIED,True,,2015,CEI-IN-8CEAE29E10CC,INVALID_AISHE_FORMAT
andhra-medical-college,Andhra Medical College,College,Andhra Pradesh,Visakhapatnam,Dr. YSR UHS,2020-21,UNVERIFIED,True,,1923,CEI-IN-7D6CB2C94942,INVALID_AISHE_FORMAT
iiit-kurnool,Indian Institute of Information Technology Design and Manufacturing Kurnool,College,Andhra Pradesh,Kurnool,,2020-21,UNVERIFIED,True,,2015,CEI-IN-5CF9CDB185F7,INVALID_AISHE_FORMAT
andhra-university,Andhra University,College,Andhra Pradesh,Visakhapatnam,,2020-21,UNVERIFIED,True,A++,1926,CEI-IN-E0027027DB2B,INVALID_AISHE_FORMAT
gayatri-vidya-parishad,Gayatri Vidya Parishad College of Engineering,College,Andhra Pradesh,Visakhapatnam,JNTU Kakinada,2020-21,UNVERIFIED,True,A,,CEI-IN-D8993B0DFAAD,INVALID_AISHE_FORMAT
indian-institute-of-petroleum--visakhapatnam,Indian Institute of Petroleum & Energy,College,Andhra Pradesh,Visakhapatnam,,2020-21,UNVERIFIED,True,,,CEI-IN-3533C7B138EF,INVALID_AISHE_FORMAT
jntu-anantapur,Jawaharlal Nehru Technological University Anantapur,College,Andhra Pradesh,Anantapur,,2020-21,UNVERIFIED,True,,1946,CEI-IN-146D1915AB3D,INVALID_AISHE_FORMAT
aditya-engineering-college-surampalem,Aditya Engineering College,College,Andhra Pradesh,Surampalem,,2020-21,UNVERIFIED,True,,,CEI-IN-84031FBAB6E4,INVALID_AISHE_FORMAT
iit-tirupati,Indian Institute of Technology Tirupati,College,Andhra Pradesh,Tirupati,,2020-21,UNVERIFIED,True,,2015,CEI-IN-DCE06542704F,INVALID_AISHE_FORMAT
gitam-visakhapatnam,Gandhi Institute of Technology and Management,College,Andhra Pradesh,Visakhapatnam,,2020-21,UNVERIFIED,True,A++,1980,CEI-IN-4D533074B04D,INVALID_AISHE_FORMAT
kurnool-medical-college,Kurnool Medical College,College,Andhra Pradesh,Kurnool,Dr. YSR UHS,2020-21,UNVERIFIED,True,,1957,CEI-IN-E55F42B2E462,INVALID_AISHE_FORMAT
koneru-lakshmaiah-education-fo-vaddeswaram,Koneru Lakshmaiah Education Foundation,College,Andhra Pradesh,Vaddeswaram,,2020-21,UNVERIFIED,True,,,CEI-IN-B3774EB76AA3,INVALID_AISHE_FORMAT
spa-vijayawada,School of Planning and Architecture Vijayawada,College,Andhra Pradesh,Krishna,,2020-21,UNVERIFIED,True,,2008,CEI-IN-C2079DFE18EA,INVALID_AISHE_FORMAT
jntu-kakinada,Jawaharlal Nehru Technological University Kakinada,College,Andhra Pradesh,Kakinada,,2020-21,UNVERIFIED,True,,1946,CEI-IN-219FC618D014,INVALID_AISHE_FORMAT
sri-krishnadevaraya-university,Sri Krishnadevaraya University,College,Andhra Pradesh,Anantapur,,2020-21,UNVERIFIED,True,,1981,CEI-IN-6A14AE4055FF,INVALID_AISHE_FORMAT
national-institute-of-technolo-tadepalligudem,National Institute of Technology Andhra Pradesh,College,Andhra Pradesh,Tadepalligudem,,2020-21,UNVERIFIED,True,,,CEI-IN-8BA8626B135C,INVALID_AISHE_FORMAT
godavari-institute-of-engineer-rajahmundry,Godavari Institute of Engineering & Technology,College,Andhra Pradesh,Rajahmundry,,2020-21,UNVERIFIED,True,,,CEI-IN-0CE2BB4485CF,INVALID_AISHE_FORMAT
spmvv-tirupati,Sri Padmavati Mahila Visvavidyalayam,College,Andhra Pradesh,Tirupati,,2020-21,UNVERIFIED,True,,1983,CEI-IN-7B3E5DB71049,INVALID_AISHE_FORMAT
damodaram-sanjivayya-nlu,Damodaram Sanjivayya National Law University,College,Andhra Pradesh,Visakhapatnam,,2020-21,UNVERIFIED,True,,2008,CEI-IN-BCD003211D73,INVALID_AISHE_FORMAT
svu-tirupati,Sri Venkateswara University,College,Andhra Pradesh,Tirupati,,2020-21,UNVERIFIED,True,A+,1954,CEI-IN-002461CA52B1,INVALID_AISHE_FORMAT
gmr-it-rajam,GMR Institute of Technology,College,Andhra Pradesh,Vizianagaram,JNTU Kakinada,2020-21,UNVERIFIED,True,A,,CEI-IN-E2726A9356C2,INVALID_AISHE_FORMAT
acharya-nagarjuna-university,Acharya Nagarjuna University,College,Andhra Pradesh,Guntur,,2020-21,UNVERIFIED,True,A,1976,CEI-IN-1943F1E98BD3,INVALID_AISHE_FORMAT
anits-visakhapatnam,Anil Neerukonda Institute of Technology and Sciences,College,Andhra Pradesh,Visakhapatnam,Andhra University,2020-21,UNVERIFIED,True,A,,CEI-IN-AE62F3F00DAE,INVALID_AISHE_FORMAT
aditya-institute-of-technology-tekkali,Aditya Institute of Technology and Management,College,Andhra Pradesh,Tekkali,,2020-21,UNVERIFIED,True,,,CEI-IN-6649694EC5AB,INVALID_AISHE_FORMAT
himalayan-university-itanagar,Himalayan University,College,Arunachal Pradesh,Papum Pare,,2020-21,UNVERIFIED,True,,2013,CEI-IN-D2D00A426987,INVALID_AISHE_FORMAT
rajiv-gandhi-university,Rajiv Gandhi University,College,Arunachal Pradesh,Papum Pare,,2020-21,UNVERIFIED,True,B,1984,CEI-IN-3496CF2B00F3,INVALID_AISHE_FORMAT
don-bosco-college-itanagar,Don Bosco College,College,Arunachal Pradesh,Papum Pare,Rajiv Gandhi University,2020-21,UNVERIFIED,True,,2002,CEI-IN-9EA011D38D2C,INVALID_AISHE_FORMAT
rf-govt-college-changlang,Rang Frah Government College,College,Arunachal Pradesh,Changlang,Rajiv Gandhi University,2020-21,UNVERIFIED,True,,1996,CEI-IN-531DB755B349,INVALID_AISHE_FORMAT
apex-professional-university,Apex Professional University,College,Arunachal Pradesh,East Siang,,2020-21,UNVERIFIED,True,,2013,CEI-IN-2CC3EBD3AE3B,INVALID_AISHE_FORMAT
igta-msu-ziro,Indira Gandhi Technological and Medical Sciences University,College,Arunachal Pradesh,Lower Subansiri,,2020-21,UNVERIFIED,True,,2012,CEI-IN-839A20E25DF8,INVALID_AISHE_FORMAT
iggc-tezu,Indira Gandhi Government College,College,Arunachal Pradesh,Lohit,Rajiv Gandhi University,2020-21,UNVERIFIED,True,,1986,CEI-IN-9A47C9C12798,INVALID_AISHE_FORMAT
arunachal-university-studies,Arunachal University of Studies,College,Arunachal Pradesh,Namsai,,2020-21,UNVERIFIED,True,,2012,CEI-IN-1A6B12E6E364,INVALID_AISHE_FORMAT
nit-arunachal-pradesh,National Institute of Technology Arunachal Pradesh,College,Arunachal Pradesh,Papum Pare,,2020-21,UNVERIFIED,True,,2010,CEI-IN-1973ABA7F2BF,INVALID_AISHE_FORMAT
govt-college-doimukh,Government College Doimukh,College,Arunachal Pradesh,Papum Pare,Rajiv Gandhi University,2020-21,UNVERIFIED,True,,2012,CEI-IN-9111352FEFF7,INVALID_AISHE_FORMAT
dngc-itanagar,Dera Natung Government College,College,Arunachal Pradesh,Papum Pare,Rajiv Gandhi University,2020-21,UNVERIFIED,True,B+,1979,CEI-IN-8FC03AFCEC62,INVALID_AISHE_FORMAT
govt-model-college-basar,Government Model College Basar,College,Arunachal Pradesh,Leparada,Rajiv Gandhi University,2020-21,UNVERIFIED,True,,2009,CEI-IN-661465612B84,INVALID_AISHE_FORMAT
saint-claret-college-ziro,Saint Claret College,College,Arunachal Pradesh,Lower Subansiri,Rajiv Gandhi University,2020-21,UNVERIFIED,True,A,2003,CEI-IN-8B8C132C0F47,INVALID_AISHE_FORMAT
nerist-itanagar,North Eastern Regional Institute of Science and Technology,College,Arunachal Pradesh,Papum Pare,,2020-21,UNVERIFIED,True,,1984,CEI-IN-5694056B843B,INVALID_AISHE_FORMAT
nftu-alo,North East Frontier Technical University,College,Arunachal Pradesh,West Siang,,2020-21,UNVERIFIED,True,,2014,CEI-IN-8DFB7E1F8499,INVALID_AISHE_FORMAT
national-institute-of-technolo-yupia,National Institute of Technology Arunachal Pradesh,College,Arunachal Pradesh,Yupia,,2020-21,UNVERIFIED,True,,,CEI-IN-79D909D0928D,INVALID_AISHE_FORMAT
wr-govt-college-deomali,Wangcha Rajkumar Government College,College,Arunachal Pradesh,Tirap,Rajiv Gandhi University,2020-21,UNVERIFIED,True,,1997,CEI-IN-7A328805F7F1,INVALID_AISHE_FORMAT
jn-college-pasighat,Jawaharlal Nehru College,College,Arunachal Pradesh,East Siang,Rajiv Gandhi University,2020-21,UNVERIFIED,True,A,1964,CEI-IN-E8F3DF3423B1,INVALID_AISHE_FORMAT
govt-college-bomdila,Government College Bomdila,College,Arunachal Pradesh,West Kameng,Rajiv Gandhi University,2020-21,UNVERIFIED,True,,1988,CEI-IN-D5FDBA29AD0B,INVALID_AISHE_FORMAT
jec-jorhat,Jorhat Engineering College,College,Assam,Jorhat,ASTU Guwahati,2020-21,UNVERIFIED,True,,1960,CEI-IN-00020E33F864,INVALID_AISHE_FORMAT
jb-law-college-guwahati,J.B. Law College,College,Assam,Kamrup Metro,Gauhati University,2020-21,UNVERIFIED,True,,,CEI-IN-7ACCDD399D9A,INVALID_AISHE_FORMAT
nlu-assam,"National Law University and Judicial Academy, Assam",College,Assam,Kamrup,,2020-21,UNVERIFIED,True,,2009,CEI-IN-A8D4AED06940,INVALID_AISHE_FORMAT
assam-medical-college-dibrugarh,Assam Medical College,College,Assam,Dibrugarh,SSUHS Guwahati,2020-21,UNVERIFIED,True,,1947,CEI-IN-AB476C4A82D4,INVALID_AISHE_FORMAT
gimt-guwahati,Girijananda Chowdhury Institute of Management and Technology,College,Assam,Kamrup Metro,ASTU Guwahati,2020-21,UNVERIFIED,True,,2006,CEI-IN-AFCA6468C44C,INVALID_AISHE_FORMAT
tezpur-university,Tezpur University,College,Assam,Sonitpur,,2020-21,UNVERIFIED,True,A+,1994,CEI-IN-9615692962A0,INVALID_AISHE_FORMAT
gauhati-university,Gauhati University,College,Assam,Kamrup Metro,,2020-21,UNVERIFIED,True,A,1948,CEI-IN-6761738A08B0,INVALID_AISHE_FORMAT
royal-global-university,The Assam Royal Global University,College,Assam,Kamrup Metro,,2020-21,UNVERIFIED,True,,2017,CEI-IN-76898547B4EB,INVALID_AISHE_FORMAT
ssuhs-guwahati,Srimanta Sankaradeva University of Health Sciences,College,Assam,Kamrup Metro,,2020-21,UNVERIFIED,True,,2009,CEI-IN-8FB9D5908881,INVALID_AISHE_FORMAT
nef-law-college,NEF Law College,College,Assam,Kamrup Metro,Gauhati University,2020-21,UNVERIFIED,True,,,CEI-IN-5523C09BC4AD,INVALID_AISHE_FORMAT
assam-agricultural-university,Assam Agricultural University,College,Assam,Jorhat,,2020-21,UNVERIFIED,True,,1969,CEI-IN-4A5A9E275428,INVALID_AISHE_FORMAT
silchar-medical-college,Silchar Medical College and Hospital,College,Assam,Cachar,SSUHS Guwahati,2020-21,UNVERIFIED,True,,1968,CEI-IN-BBCAECC04419,INVALID_AISHE_FORMAT
astu-guwahati,Assam Science and Technology University,College,Assam,Kamrup Metro,,2020-21,UNVERIFIED,True,,2010,CEI-IN-28B13358D401,INVALID_AISHE_FORMAT
iit-guwahati,Indian Institute of Technology Guwahati,College,Assam,Kamrup,,2020-21,UNVERIFIED,True,,1994,CEI-IN-A09C5341AA13,INVALID_AISHE_FORMAT
bodoland-university,Bodoland University,College,Assam,Kokrajhar,,2020-21,UNVERIFIED,True,,2009,CEI-IN-574060A5D58D,INVALID_AISHE_FORMAT
national-institute-of-technolo-silchar,National Institute of Technology Silchar,College,Assam,Silchar,,2020-21,UNVERIFIED,True,,,CEI-IN-5E3C31CF0411,INVALID_AISHE_FORMAT
dibrugarh-university,Dibrugarh University,College,Assam,Dibrugarh,,2020-21,UNVERIFIED,True,A,1965,CEI-IN-448C107985EB,INVALID_AISHE_FORMAT
assam-university-silchar,Assam University,College,Assam,Cachar,,2020-21,UNVERIFIED,True,B,1994,CEI-IN-D3B75AC01F54,INVALID_AISHE_FORMAT
nit-silchar,National Institute of Technology Silchar,College,Assam,Cachar,,2020-21,UNVERIFIED,True,,1967,CEI-IN-78AB60C2A7DA,INVALID_AISHE_FORMAT
cotton-university,Cotton University,College,Assam,Kamrup Metro,,2020-21,UNVERIFIED,True,,2017,CEI-IN-BE6865DED2BC,INVALID_AISHE_FORMAT
don-bosco-university,Assam Don Bosco University,College,Assam,Kamrup Metro,,2020-21,UNVERIFIED,True,A,2008,CEI-IN-F79EA2D0E0C2,INVALID_AISHE_FORMAT
assam-down-town-university,Assam Down Town University,College,Assam,Kamrup Metro,,2020-21,UNVERIFIED,True,B,2010,CEI-IN-84E5B16DDA94,INVALID_AISHE_FORMAT
bbec-kokrajhar,Bineswar Brahma Engineering College,College,Assam,Kokrajhar,ASTU Guwahati,2020-21,UNVERIFIED,True,,2010,CEI-IN-F2F92466251A,INVALID_AISHE_FORMAT
jorhat-medical-college,Jorhat Medical College and Hospital,College,Assam,Jorhat,SSUHS Guwahati,2020-21,UNVERIFIED,True,,2009,CEI-IN-49B48504EC95,INVALID_AISHE_FORMAT
aec-guwahati,Assam Engineering College,College,Assam,Kamrup Metro,ASTU Guwahati,2020-21,UNVERIFIED,True,,1955,CEI-IN-6C0513E3B4AF,INVALID_AISHE_FORMAT
jist-jorhat,Jorhat Institute of Science and Technology,College,Assam,Jorhat,ASTU Guwahati,2020-21,UNVERIFIED,True,,1971,CEI-IN-3221CED9AF73,INVALID_AISHE_FORMAT
gauhati-medical-college,Gauhati Medical College and Hospital,College,Assam,Kamrup Metro,SSUHS Guwahati,2020-21,UNVERIFIED,True,,1960,CEI-IN-B7F53322FEB1,INVALID_AISHE_FORMAT
indian-institute-of-technology-guwahati,Indian Institute of Technology Guwahati,College,Assam,Guwahati,,2020-21,UNVERIFIED,True,,,CEI-IN-720C337D0B0D,INVALID_AISHE_FORMAT
kaziranga-university,The Assam Kaziranga University,College,Assam,Jorhat,,2020-21,UNVERIFIED,True,,2012,CEI-IN-4A6428CF0D83,INVALID_AISHE_FORMAT
igims-patna,Indira Gandhi Institute of Medical Sciences,College,Bihar,Patna,,2020-21,UNVERIFIED,True,,1983,CEI-IN-51A5BCD0C3AE,INVALID_AISHE_FORMAT
indian-institute-of-technology-patna,Indian Institute of Technology Patna,College,Bihar,Patna,,2020-21,UNVERIFIED,True,,,CEI-IN-488E46BFED8D,INVALID_AISHE_FORMAT
nalanda-university,Nalanda University,College,Bihar,Nalanda,,2020-21,UNVERIFIED,True,,2010,CEI-IN-8E456666D5FD,INVALID_AISHE_FORMAT
bce-patna,Bakhtiyarpur College of Engineering,College,Bihar,Patna,Bihar Engineering University,2020-21,UNVERIFIED,True,,2016,CEI-IN-D1A22C145E6F,INVALID_AISHE_FORMAT
lnce-motihari,Motihari College of Engineering,College,Bihar,East Champaran,Bihar Engineering University,2020-21,UNVERIFIED,True,,2008,CEI-IN-F16871E05F8A,INVALID_AISHE_FORMAT
aku-patna,Aryabhatta Knowledge University,College,Bihar,Patna,,2020-21,UNVERIFIED,True,,2010,CEI-IN-BF474E9E3DAE,INVALID_AISHE_FORMAT
iit-patna,Indian Institute of Technology Patna,College,Bihar,Patna,,2020-21,UNVERIFIED,True,,2008,CEI-IN-F337502D5E90,INVALID_AISHE_FORMAT
iim-bodh-gaya,Indian Institute of Management Bodh Gaya,College,Bihar,Gaya,,2020-21,UNVERIFIED,True,,2015,CEI-IN-5BA9CCB702A8,INVALID_AISHE_FORMAT
iiit-bhagalpur,Indian Institute of Information Technology Bhagalpur,College,Bihar,Bhagalpur,,2020-21,UNVERIFIED,True,,2017,CEI-IN-3BFE289B981C,INVALID_AISHE_FORMAT
mit-muzaffarpur,Muzaffarpur Institute of Technology,College,Bihar,Muzaffarpur,Bihar Engineering University,2020-21,UNVERIFIED,True,,1954,CEI-IN-1CD272AB8819,INVALID_AISHE_FORMAT
tmbu-bhagalpur,Tilka Manjhi Bhagalpur University,College,Bihar,Bhagalpur,,2020-21,UNVERIFIED,True,,1960,CEI-IN-0037A34DEFFC,INVALID_AISHE_FORMAT
magadh-university,Magadh University,College,Bihar,Gaya,,2020-21,UNVERIFIED,True,,1962,CEI-IN-818969CEB57F,INVALID_AISHE_FORMAT
cnlu-patna,Chanakya National Law University,College,Bihar,Patna,,2020-21,UNVERIFIED,True,,2006,CEI-IN-AA36A83CCDFA,INVALID_AISHE_FORMAT
basu-patna,Bihar Animal Sciences University,College,Bihar,Patna,,2020-21,UNVERIFIED,True,,2016,CEI-IN-8AE8E7CE1A44,INVALID_AISHE_FORMAT
bau-sabour,Bihar Agricultural University,College,Bihar,Bhagalpur,,2020-21,UNVERIFIED,True,,2010,CEI-IN-6639C54B9AA3,INVALID_AISHE_FORMAT
lnmu-darbhanga,Lalit Narayan Mithila University,College,Bihar,Darbhanga,,2020-21,UNVERIFIED,True,,1972,CEI-IN-1C4A8EB96D86,INVALID_AISHE_FORMAT
aiims-patna,All India Institute of Medical Sciences Patna,College,Bihar,Patna,,2020-21,UNVERIFIED,True,,2012,CEI-IN-1219E90B9F3B,INVALID_AISHE_FORMAT
dmch-darbhanga,Darbhanga Medical College and Hospital,College,Bihar,Darbhanga,Aryabhatta Knowledge University,2020-21,UNVERIFIED,True,,1946,CEI-IN-BEC01FD8BF03,INVALID_AISHE_FORMAT
central-uni-south-bihar,Central University of South Bihar,College,Bihar,Gaya,,2020-21,UNVERIFIED,True,A++,2009,CEI-IN-EAF0149FC289,INVALID_AISHE_FORMAT
nce-chandi,Nalanda College of Engineering,College,Bihar,Nalanda,Bihar Engineering University,2020-21,UNVERIFIED,True,,2008,CEI-IN-52CBCD759E68,INVALID_AISHE_FORMAT
national-institute-of-technolo-patna,National Institute of Technology Patna,College,Bihar,Patna,,2020-21,UNVERIFIED,True,,,CEI-IN-E3F94FEB96F2,INVALID_AISHE_FORMAT
drpca-pusa,Dr. Rajendra Prasad Central Agricultural University,College,Bihar,Samastipur,,2020-21,UNVERIFIED,True,,1970,CEI-IN-4BDEAA24FDCC,INVALID_AISHE_FORMAT
cimp-patna,Chandragupt Institute of Management Patna,College,Bihar,Patna,,2020-21,UNVERIFIED,True,,2008,CEI-IN-3164353403DB,INVALID_AISHE_FORMAT
pmch-patna,Patna Medical College and Hospital,College,Bihar,Patna,Aryabhatta Knowledge University,2020-21,UNVERIFIED,True,,1925,CEI-IN-2669A71F9DD8,INVALID_AISHE_FORMAT
niper-hajipur,National Institute of Pharmaceutical Education and Research Hajipur,College,Bihar,Vaishali,,2020-21,UNVERIFIED,True,,2007,CEI-IN-7F442532CD63,INVALID_AISHE_FORMAT
bce-bhagalpur,Bhagalpur College of Engineering,College,Bihar,Bhagalpur,Bihar Engineering University,2020-21,UNVERIFIED,True,,1960,CEI-IN-9B09052A30D2,INVALID_AISHE_FORMAT
patna-university,Patna University,College,Bihar,Patna,,2020-21,UNVERIFIED,True,B+,1917,CEI-IN-A99B81F350ED,INVALID_AISHE_FORMAT
nmch-patna,Nalanda Medical College and Hospital,College,Bihar,Patna,Aryabhatta Knowledge University,2020-21,UNVERIFIED,True,,1970,CEI-IN-E7F800BD8E5D,INVALID_AISHE_FORMAT
gce-gaya,Gaya College of Engineering,College,Bihar,Gaya,Bihar Engineering University,2020-21,UNVERIFIED,True,,1981,CEI-IN-335900E581AB,INVALID_AISHE_FORMAT
skmch-muzaffarpur,Sri Krishna Medical College and Hospital,College,Bihar,Muzaffarpur,Aryabhatta Knowledge University,2020-21,UNVERIFIED,True,,1970,CEI-IN-D18D23E6934D,INVALID_AISHE_FORMAT
nit-patna,National Institute of Technology Patna,College,Bihar,Patna,,2020-21,UNVERIFIED,True,,2004,CEI-IN-1A86808DEF58,INVALID_AISHE_FORMAT
patna-womens-college,Patna Women's College (Autonomous),College,Bihar,Patna,Patna University,2020-21,UNVERIFIED,True,A,1940,CEI-IN-1BBABF3B6C9A,INVALID_AISHE_FORMAT
chandigarh-college-of-engineering-technology-degree,Chandigarh College of Engineering and Technology (Degree Wing),College,Chandigarh,Chandigarh,Panjab University,2020-21,UNVERIFIED,True,NA,2002,CEI-IN-9C8188BD9040,INVALID_AISHE_FORMAT
guru-gobind-singh-college-for-women,Guru Gobind Singh College for Women,College,Chandigarh,Chandigarh,Panjab University,2020-21,UNVERIFIED,True,NA,1973,CEI-IN-B223E99894A4,INVALID_AISHE_FORMAT
chandigarh-college-of-architecture,Chandigarh College of Architecture,College,Chandigarh,Chandigarh,Panjab University,2020-21,UNVERIFIED,True,NA,1961,CEI-IN-3F9EB4B03039,INVALID_AISHE_FORMAT
post-graduate-government-college-for-girls-sector-11,"Post Graduate Government College for Girls, Sector 11",College,Chandigarh,Chandigarh,Panjab University,2020-21,UNVERIFIED,True,A,1956,CEI-IN-8BEDA81BC91F,INVALID_AISHE_FORMAT
government-polytechnic-for-women-chandigarh,Government Polytechnic for Women,College,Chandigarh,Chandigarh,PSBTE & IT,2020-21,UNVERIFIED,True,NA,1962,CEI-IN-A98514973617,INVALID_AISHE_FORMAT
govt-medical-college-hospital-chandigarh,"Government Medical College and Hospital, Chandigarh",College,Chandigarh,Chandigarh,Panjab University,2020-21,UNVERIFIED,True,NA,1991,CEI-IN-A1536037EF3F,INVALID_AISHE_FORMAT
pgimer-chandigarh,Postgraduate Institute of Medical Education and Research,College,Chandigarh,Chandigarh,,2020-21,UNVERIFIED,True,NA,1962,CEI-IN-B86B68B72D2D,INVALID_AISHE_FORMAT
